"Balanced_accuracy" "Threshold" "Group"
"464" "0.951142893054658" "2600" "OR"
"465" "0.943918615609792" "2600" "OR"
"466" "0.941429119811473" "2600" "OR"
"467" "0.938078468740233" "2600" "OR"
"468" "0.935660014005602" "2600" "OR"
"469" "0.949639824051589" "2600" "OR"
"470" "0.924800285498815" "2600" "OR"
"471" "0.948833145524322" "2600" "OR"
"472" "0.932978120735474" "2600" "OR"
"473" "0.945938843659432" "2600" "OR"
"474" "0.934736013081601" "2600" "OR"
"475" "0.927604602825191" "2600" "OR"
"476" "0.954681741372918" "2600" "OR"
"477" "0.944737773487774" "2600" "OR"
"478" "0.958441482448835" "2600" "OR"
"479" "0.958993930905696" "2600" "OR"
"480" "0.947360986147751" "2600" "OR"
"481" "0.929962247719601" "2600" "OR"
"482" "0.95011443368061" "2600" "OR"
"483" "0.944052925744102" "2600" "OR"
"484" "0.934900434532788" "2600" "OR"
"485" "0.950466324436913" "2600" "OR"
"486" "0.949564659197012" "2600" "OR"
"487" "0.942408918695683" "2600" "OR"
"488" "0.960499722411487" "2600" "OR"
"489" "0.933414045105222" "2600" "OR"
"490" "0.940981344547521" "2600" "OR"
"491" "0.940718919064507" "2600" "OR"
"492" "0.937547422988599" "2600" "OR"
"493" "0.950660597572362" "2600" "OR"
"494" "0.928425546587311" "2600" "OR"
"495" "0.931058654404243" "2600" "OR"
"496" "0.948595140065728" "2600" "OR"
"497" "0.930779151404151" "2600" "OR"
"498" "0.94195638511815" "2600" "OR"
"499" "0.964926560367737" "2600" "OR"
"500" "0.947466297503062" "2600" "OR"
"501" "0.936881598793364" "2600" "OR"
"502" "0.948100310637075" "2600" "OR"
"503" "0.932253824606766" "2600" "OR"
"504" "0.940382614757615" "2600" "OR"
"505" "0.94644594376212" "2600" "OR"
"506" "0.960751823251823" "2600" "OR"
"507" "0.956036998132586" "2600" "OR"
"508" "0.936281252972429" "2600" "OR"
"509" "0.94224942541119" "2600" "OR"
"510" "0.943182728219493" "2600" "OR"
"511" "0.928491614594556" "2600" "OR"
"512" "0.9431487114943" "2600" "OR"
"513" "0.938240635997989" "2600" "OR"
"514" "0.927093981910158" "2600" "OR"
"515" "0.938517795025148" "2600" "OR"
"516" "0.945663560295913" "2600" "OR"
"517" "0.947268503555268" "2600" "OR"
"518" "0.952056149556149" "2600" "OR"
"519" "0.944251867413632" "2600" "OR"
"520" "0.955341027436616" "2600" "OR"
"521" "0.936697775263952" "2600" "OR"
"522" "0.965278451124039" "2600" "OR"
"523" "0.929603902545079" "2600" "OR"
"524" "0.94615290346908" "2600" "OR"
"525" "0.946293373205138" "2600" "OR"
"526" "0.93872616354234" "2600" "OR"
"527" "0.951009346046111" "2600" "OR"
"528" "0.918018092025445" "2600" "OR"
"529" "0.93817838361956" "2600" "OR"
"530" "0.9401715237377" "2600" "OR"
"531" "0.931631437918203" "2600" "OR"
"532" "0.93990515766251" "2600" "OR"
"533" "0.951884176920942" "2600" "OR"
"534" "0.908208818870584" "2600" "OR"
"535" "0.950959832651009" "2600" "OR"
"536" "0.951395757020757" "2600" "OR"
"537" "0.924763979396332" "2600" "OR"
"538" "0.95141160310278" "2600" "OR"
"539" "0.940868222375575" "2600" "OR"
